,label,review_clean
37,positive,sambal dengan daun serawung tomat dan cabe rawit rasa sambal ini yang membuat kota di garut yang namanya cibiuk jadi terkenal sambal ini bisa dinikmati dengan gurame goreng ataupun dengan ayam goreng rasanya sangat enak selain di lengkokng cibiuk juga memiliki banyak cabang
38,negative,saya sudah konfirmasi ke pihak gramedia tapi dilempar lempar tak ada kejelasan pihak gramed sampai spv di outlet tersebut saling lempar dan menyebut tidak ada promo kecewa dilempar lempar begitu
39,neutral,selamat siang jika ada hal lain yang bapak akan tanyakan dapat mention kami kembali terima kasih zan
40,negative,menurut kami tempat ini biasa saja tidak ada atraksi atau pemandangan yang menarik dengan harga tiketorang kalau pemandangan gunung ya memang sudah seharusnya karena berada di daerah tinggi untuk wisata kuliner juga tidak terlalu banyak pilihan seperti tempat yang satu lagi 
41,negative,saya sudah menjadi pelanggan madtari sejak tahunsaat itu masih berupa warung tenda kecil yang sangat ramai malam hari beberapa tahun silam menempati bangunan yang permanen sejak itu saya merasa kualitasnya agak menurun dibandingkan dengan saat di warung tenda yang jelas harga naik cukup signifikan dibandingkan warung serupa mungkin lebih mahal 
42,positive,komentar pertama sudah pasti venue yang kece pelayanan ramah sekali dan untuk menu yang dipilih adalah ikan bakar dan sop buntutnya yang aku kasih nilaitapi buat es buah itu aku kasih nilaiya 
43,positive,di restoran ini makanan yang disediakan banyak sekali dan harga cukup terjangkau suasana yang enak dan nyaman
44,negative,aku iri melihat kalian yang bisa menemukan kebahagiaan 
45,negative,habis beli pulsa mau daftar paket internet gagal terus dan suruh mengulang terus didan tetap tidak bisa
46,positive,tempatnya sangat bagus apa lagi malam hari dihias dengan lampu lampu sangat romantis cocok buat pasangan jauh dari keramaian udaranya sangat dingin kita dapat melihat keindahan kota dari atas 
47,positive,makanannya enak enak dan eye catching untuk di foto suka tetapi minumannya juga enak dan tempatnya nyaman untuk kumpul kumpul dengan teman 
48,positive,ini kali kedua kunjungan saya semua makanan yang saya coba enak enak dan tempatnya masih semenawan dulu tidak pernah menyesal makan di sini 
49,positive,makanannya smoked chicken dan cheese sandwich minumannya jus lumayan pas dan enak tempatnya memang enak buat yang ingin suasana hening santai jauh dari kebisingan 
50,neutral,obat tanpa resep sebaiknya dihindari ibu menyusui
51,neutral,semakin banyak tahu semakin cemburu 
52,negative,karyawan malas untuk apa kasih cuti bisnis lagi jelek malah mau foya foya mikir dong 
53,positive,tempat yang berdampingan dengan air sungai dan rimbunnya pepohonan dan makanan yang lezat membuat betah dan cocok untuk beristirahat berbagai jajanan juga tersedia di tempat ini hawanya juga sejuk 
54,neutral,tolong ya minimal demi kemudahan nasabah agar di dalam stasiun tigaraksa diberikan mesin atm bni
55,positive,kupat tahu gempol merupakan salah satu kupat tahu legendaris tempatnya tidak terlalu besar tetapi cukup mencolok dengan warna merahnya di pertigaan pasar gempol porsinya pas banget untuk menghilangkan lapar ciri khas dari kupat tahu ini adalah tahunya yang lembut dan kenyal serta kuah kacangnya pas di lidah dipadu dengan lontong tauge dan kerupuk merah enak sekali 
56,negative,wah sama seperti saya ini mas barusan paket freedom l saya belum habis tapi sudah dibebankan tarif internet perlu sampai pulsa sekitarribu saya disedot perampok
57,negative,rumah makan ini memang tergolong murah bila dibandingkan dengan rumah makan sejenisnya namun makanan yang disediakan biasa saja tidak ada yang istimewa sebagian besar makanannya hanya ikan atau ayam dengan cara masak digoreng bisa dibilang menu makanannya tidak ada variasi sama sekali 
58,negative,kamar mandi jauh dari layak untuk cuci tangan tidak disediakan sabun 
59,positive,suasananya cocok bagi semua orang baik anda yang ingin menyendiri bersama keluarga maupun dengan teman teman dekat bertukar cerita
60,positive,bakso favorit kami sekeluarga rasanya gurih dan super enak ditemani dengan es jeruk dan kerupuk putih super yummy deh harga sangat terjangkau lokasi masuk gang kecil tapi mudah ditemukan karena banyak orang yang tahu di lokasinya 
61,negative,tidak enak makan di restoran tidak bisa minta kuah opor ayam dikit seperti di warteg 
62,neutral,meningkatnya presentase peminat ride sharing membuat toyota nekad menggelontorkan uang hinggamiliar pada grab demi menyelamatkan bisnis otomotifnya 
63,positive,pemandangan kota bandung yang indah dapat disaksikan dari sierra kafe lounge ada dua pilihan tempat bisa dalam ruangan maupun di luar tempat yang romantis cocok untuk berduaan dan cocok juga buat kumpul bersama teman teman sambil melepas lelah karena udaranya sejuk dan menyegarkan makanan yang disediakan juga lezat dan banyak pilihan ada masakan indonesia asia bahkan eropa makanan barat 
64,neutral,rumah itu memiliki pagar besar berwarna hitam 
65,positive,restoran unik di mana tidak disediakan piring untuk makan menggunakan alas daun pisang makanan cukup enak 
66,neutral,ayah saya merupakan seorang pegawai net tv
67,neutral,indomie banyak ditemukan di warung warung terdekat 
68,negative,sulit sekali mengerti orang yang merasa selalu benar
69,neutral,mimpi disuruh mencari coklat sama gordon ramsay eh malah kecampur sama kuah indomie
70,negative,iya sih mi sedap isinya lebih banyak tapi soal rasa kalah jauh sama yang lain
71,positive,wah enak banget sate yang nikmat bumbu yang pas rasa yang pas dan daging yang segar hingga menghasilkan sate yang benar benar mantap pelayanan yang ramah 
72,negative,waktu datang ke sini sedang bukan musim stroberi jadi pada kecil kecil dan tidak bagus jadi cuma ambil seadanya saja sad 
73,neutral,peresmian pengoperasian kereta api bandara oleh presiden ri dengan simbolis penekanan tombol sirine yang menyuarakan genta didampingi oleh menteri perhubungan menteri bumn gubernur banten dirjen perkeretaapian kemhub dirut apdirut pt kan dan dirut railink
74,negative,masakan restoran ini rata rata tidak enak 
75,positive,cocok untuk makan malam romantis dengan pasangan ketika merayakan momen berdua makanannya enak dan berkelas 
76,positive,batagornya enak mi nya enak ada aneka makanan yang bisa dicicip di satu tempat apalagi sekarang tokonya sudah direnovasi jadi bagus ada musala area oleh oleh banyak pilihan 
77,negative,baru pakai berapa hari langsung hang power bank tidak bisa di pake apa apa harus bawa ke tempat servis 
78,positive,restoran yang memiliki pemandangan yang bagus jika ke sini pada malam hari carilah tempat duduk di luar ruangan maka kalian akan melihat disetiap meja lampu lampu yang menyala makanan yang kami pesan adalah sup krim dan coklat hangat sangatlah enak dan lezat pas dengan cuacanya yang dingin
79,positive,tempatnya sangat romantis dan nyaman dengan suasana yang sangat nyaman dan pelayanan yang baik makanan sangat enak dengan harga yang reasonable sangat ingin kembali ke sini menikmati suasana sorenya secara keseluruhan baik sangat bagus 
80,positive,makanan court dengan banyak penyewa banyak pilihan cocok untuk anak muda yang ingin nongkrong berkelompok sambil makan minum sesuai selera masing masing parkir sangat luas 
81,positive,terima kasih bang atas apresiasinya semoga beliau segera menemui wakil kami korban phk sepihak freeport 
82,positive,hampir lebihkali saya ke sini dim sumnya yahud dan harganya terjangkau banget tempatnya asyik dan sangat nyaman pelayannya ramah walaupun kita cuma berdua dan makan tidak banyak jenisnya pokoknya rekomendasi banget bila mencari dim sum atau shabu di balikpapan 
83,positive,tempatnya menyenangkan santai dan sangat mudah ditemui karena bersebelahan dengan swalayan lotte mart
84,negative,kipp menerima banyak laporan terkait adanya pelanggaran pada pilkada
85,positive,sudah beberapa kali ke sini makanan lumayan enak saung saungnya juga membuat suasana makan dan bersantai jadi nikmat ditambah dengan suara sungai kecil menambah suasana jadi bertambah alami dianjurkan datang ke sini malam hari karena lebih indah 
86,positive,makanan di sini sangat enak cocok untuk pertemuan kantor atau bersama keluarga besar harga terjangkau
87,neutral,dhl sedang membuka lowongan pekerjaan untuk customer service
88,positive,saya coba yang di dekat kantor walikota saya pesan bakso malang super komplet rasanya enak kenyang harga juga masuk akal 
89,positive,tempat makan di luar yang luas menyajikan segala makanan dari tradisional hingga yang termodern dari harga yang murah meriah hingga yang mahal penataan dekorasi yang apik akan membuat betah 
90,positive,yang wajib banget dicoba di resto ini ada jus stroberi tanpa susu atau gula asli enak banget kayaknyagelas saja kurang deh 
91,positive,resto makanan barat dengan harga kaki lima ditambah pemandangan alam yang indah suasana yang romantis asal jangan hujan karena di teras dibiarkan terbuka resto favorit keluarga saya 
92,positive,ayam gorengnya enak di sini cocok buat yang habis perjalanan jauh saya ke sini pulang dari luar kota jadi makannya pas lapar gitu deh bikin perut kenyang makanannya enak terus pelayanannya mantap kasirnya cantik cantik
93,negative,paket saya juga sampai sekarang tidak sampai sampai sudahhari statusnya dengan pengiriman courier jakarta parah sekarang jne
94,negative,jual ayam bakar taliwang tapi ayam yang disajikan seperti karet dan tidak memuaskan dan rasanya hambar sambalnya juga alakadarnya dari keseluruhan sangat mengecewakan dan saya tidak akan ke dua kalinya ke sana lagi
95,negative,jalan sukajadi kalau malam suka ada warga yang buang sampah di pinggir jalan orang orang kayak gitu harus dimusnahkan
96,positive,paling favorit di resto ini adalah buburrasamangkok besar bisa untuk berdua sama suami lalu banyak menunya untuk tambahan makan sama bubur harga dan rasa sesuai dan yang pasti teman makan bubur adalah teh hangat hmmm enak 
97,negative,indosat adalah penyebab gue marah tiap hari
98,positive,restoran ini merupakan tempat yang cocok untuk makan malam bersama pasangan dan keluarga dengan makanan yang cukup enak dan pemandangan yang bagus suasananya juga baik dengan hiasan klasik dari pojok sampai pintu masuknya 
99,negative,konsep restoran biasa saja tapi harga minumannya kok mahal banget dimurahinlah dikit meskipun di daerah wisata hehe jadi mikir berkali kali buat beli 
100,positive,susunya segar dengan sayuran yang mantap dan rasa kuah yang enak dan pelayanan yang sangat super ramah 
101,negative,menyesal nih gue kasih tahu loe farrel
102,negative,kesel lah mana parkir tidak benar bikin jalanan sempit doang lagi giliran mobilnya baret misuh misuh menuduh sembarang orang
103,positive,resto ini saya rekomendasikan untuk anda singgahi jika anda ingin bersantap sambil menikmati sunset karena letaknya yang berada di dataran tinggi anda dapat menikmati keindahan alam pegunungan dan suasana kota untuk makananannya sendiri ada beberapa cita rasa dari masakan daerah indonesia hingga internasional 
104,negative,sangat melelahkan balik pergi ke kampus sore sekali ditambah kerja kelompok yang tidak ada abisnya deadline tugas juga mepet sekali
105,neutral,bali punya banyak pulau yang bisa dikunjungi 
106,negative,saya makan pagi di restoran lantaiini dan kebetulan saya mendapatkan tempat duduk di luar atau balkon bantalan tempat duduknya terlihat banyak noda kotoran angin sangat kencang bertiup sehingga makan pagi tidak nyaman saya sarankan apabila anda makan di restoran ini pilih tempat duduk di dalam untuk kenyamanan 
107,neutral,perluasan kilang minyak pt pertamina serapribu lebih tenaga kerja
108,positive,restoran di padma hotel termasuk salah satu tempat yang nyaman dan indah dengan pemandangan bukit lembah dan pepohonan yang hijau sehingga bisa menikmati makanan dengan suasana yang berbeda makanan di sini cukup bervariasi dan banyak pilihan tidak beda jauh dengan restoran restoran lain di bandung tapi di sini ada menu pilihan tradisional yang membuat anda bisa merasakan khas makanan yang berbeda sambil menikmati alam 
109,negative,sekarang bukan zaman janji km rakyat sudah bosan alias muak
110,neutral,aku dan suami biasanya menginap di jimbaran saat berkunjung ke bali
111,negative,bingung deh selalu saja tidak bisa ikutan nongkrong karena memang ramai sekali yasudahlah ya sepertinya memang lebih enak aku drive thru saja berhubung di pusat kota posisinya sumpah ini mcd paling ramai 
112,negative,penakut tapi soksikan tidak takut diajak nonton film horror oke ayok selesai menonton tidak berani ke kamar mandi
113,negative,kualitas lounge amat mengecewakan jauh dari eskalator melalui lorong lorong kotor desain sempit memanjang 
114,positive,meski tidak pernah mendapatkan gubug tepi sawah namun pesona dan kenyamanan makan di gubug lain tak menjadi nilai minus bagi tempat makan ini banyak gubug yang nyaman untuk dijadikan tempat bersantap kualitas makanannya pun super dan enak coba ikan bakar daun wangi pedas dan sedap sekali 
115,positive,kalau urusan makanan yang enak enak sepertinya inilah rajanya bukan hanya makanan yang mantap tapi suasananya pun semakin hangat apalagi bersama keluarga atau teman lagu lagunya juga menghibur banget 
116,positive,sudah beberapa kali makan di tempat ini menu merupakan menu khas sunda terutama tersedia menu yang sudah jarang ditemukan di rumah makan lainnya di bandung rasa makanan sungguh lezat
117,negative,rakyat sudah jenuh mendengar ocehan politikus jika baik kenapa tidak katakan baik kenapa semua yang dilakukan pemerintah semuanya tidak ada baiknya 
118,positive,menunggu mal istana plaza buka di pagi hari sebaiknya mampir di mangkok ayam di pelataran lantaiistana plaza berbagai macam menu pilihan indonesia food chinese food tersedia sebaiknya dicoba mi ayam rica sungguh sangat puas sembari minum kopi di pagi hari 
119,positive,makan di sini cukup nikmat karena menunya beragam dari mulai menu indonesia asia hingga tiongkok sehingga bisa mencoba rasa yang beragam rasanya juga tidak kalah enak tempatnya cukup nyaman pelayanannya pun cepat
120,positive,makan di atas gunung degan pemandangan lampu kota kalau malam sangat indah makanannya juga enak harga standar seperti kafe yang lain 
121,neutral,sebenarnya agak lucu juga sih ke bandung tapi kok makan pizza hut hanya karena lagi ingin pizza rasanya tidak berbeda dengan yang di jakarta 
122,positive,dulu suka banget makan di sini waktu sama di jakarta baru tahu kalau di bandung juga ada tempatnya enak banget banyak pilihan suasana yang bisa dipilih mau di luar indoor merokok atau ngge tidak ada tempat buat segala jenis pengunjung makanannya juga enak sih ya pasta pasta ala orang indonesia 
123,negative,untuk apa kau sekolah tinggi tinggi tapi ngomong macam anjing menggonggong 
124,positive,bagus dan nyaman tempat tempatnya rekomendasi banget buat makan malam datang sama pasangan dilayani sama mbak dela dijelaskan detail dan ramah banget menunya variatif dan enak pas datang saya sama pasangan nyobain menu lokal dan asingnya keduanya sama sama enak buat saran saja jangan datang ke tempat ini bisa bisa malah bolak balik datang hehehehe pemandangannya luar biasa 
125,neutral,buat yang suka manis coba nasi ayam jamurnya kalau tidak suka coba pilih nasi ikan asin yang terkenal satenya disajikan di atas piring panas pilihan lain yang banyak dipesan adalah tahu goreng 
126,positive,saya suka sekali makan di sini harganya tidak terlalu mahal dan rasanya enak yang paling saya suka jamur panggangnya banyak kejunya dan lembut tiap kali ke sini pasti order ini 
127,neutral,di restoran itu tersedia banyak pilihan makanan mulai dari yang murah hingga yang mahal
128,positive,tempat yang nyaman dan alami untuk membawa keluarga relaks suasana pedesaan alami mengenalkan anak pda alam
129,negative,sudah seminggu ini pdam di daerah kami tidak mengalir apa stok air pdam habis tanggung jawab dong
130,neutral,kerja dari pagi sampai pagi lagi itu cuma bakal menyiksa diri sendiri jadi tidak usah berlebihan kalau soal kerjaan 
131,negative,rasa makanan tidak semewah harganya overpriced untuk pengunjung keluarga grup teman atau bisnis 
132,positive,kalau mampir ke sukabumi jangan lupa nyicip bubur ayam hamid asli enak banget beda dengan bubur ayam di tempat lain suiran ayamnya lumayan banyak bumbunya juga terasa banget apalagi jika kita makannya ditambah sate ampela atau usus dijamin bakal ketagihan 
133,negative,tolonglah pihak telkomsel di revisi harga harga paket internetnya harganya selangit 
134,neutral,yang terhormat tolong dong respon pesan saya terima kasih
135,positive,bukan hanya namanya saja swike waled rasanya sama enaknya dengan yang di desa waled cirebon kuahnya tauconya asinnya pas swieke gorengnya juga enak cuma harganya agak mahal dibanding swike di cirebon 
136,neutral,dapatkan hardisk dengan harga promo untuk setiap pemesanan jasa isi hardisk penuhtb
137,positive,restoran unik dengan menu nasi goreng yang unik pula nasi goreng disajikan dengan level kepedasan yang berbeda beda anda penggemar pedas harus mencoba nasi goreng di sini selain itu nasi goreng disajikan dengan berbagai resep seperti dengan ebi kemangi kecap manis bumbu rahasia sampai dengan campuran kencur per porsi disajikan dengan takaran yang pas harga per porsinya mulai rprppelayanan sangat menyenangkan 
138,negative,pakek telkomsel pengin marah terus hanya berbagi capture kurang darikb muteer terus berujung gagal tetapi kalau dipompakan bilangnya jaringan tidak bermasalah 
139,neutral,ditunggu saja pasti dikasih biasa maksimal seminggu kok
140,positive,enak tempatnya bersih nyaman dan makanan yang disajikan pun bervariasi selain itu tempatnya yang berada di kota menjadikan tempat istirahat orang orang yang berbelanja dan pekerja kantoran harganya memang mahal tapi setara dengan rasanya
141,neutral,cari di bukalapak saja kalau kepepet sementara bisa gunakan punya redmia 
142,negative,makannya lumayan tapi ada pelayan yang agak jorok saja jadi kurang nyaman untuk makanan agak cepat ya agar tidak kelaparan konsumen masih banyak yang harus ditingkatkan 
143,negative,padahal baru jamsore di hari kamis saya dan teman saya mau coffe break saya lupa kami pesan minuman apa waktu itu hanya yang saya ingat adalah pada saat pilih menu a dibilang dengan pelayannya sudah habis lalu kami pilih menu b eh sudah habis juga akhirnya terpaksa memilih menu lain cukup menyebalkan 
144,positive,kalau di sini dagingnya lebih enak bumbunya sih lebih berasa yang di sana harganya juga tidak beda jauh 
145,positive,tempat yang indah dan romantis dengan pemandangan kota bandung dengan kerlip lampunya yang mirip dengan ribuan cahaya lilin di malam hari serta hawa dingin pegunungan apalagi hidangan yang lezat hangat dan penampilan yang sangat menggoda wah sangat sayang jika dilewatkan 
146,negative,penasaran ke sini karena tiap melewati tol selalu melihat iklannya di jalan pas ke sana ternyata tempatnya cenderung biasa saja ke sana pas malam malam plus hujan juga jadi agak becek 
147,positive,resto ini cukup luas suasana sangat menyenangkan pengunjung dapat melihat pemandangan kota bandung menu makanan barat dan indonesian makanan harga sesuai kualitas dan pelayanan 
148,neutral,bogor akan dipimpin kembali oleh bima arya 
149,negative,bulan januari saya sudah ke galeri indosat untuk registrasi kartu kata mbaknya yang tas sudah teregistrasi kok tapi kemarin tidak bisa telepon dan sms karena diblokir belum registrasi maunya apa coba terima kasih atas layanannya yang e llent sekali 
150,positive,saya mencoba suis butcher di selai di suis butcehr di stiabudhi saya juga mencoba suis butcher di jalan riau saya lebih menyukai suasanan di suis butcher di setiabudi yang tidak terlalu ramai dan enak tempatnya buat ngobrol makanannya saya suka tenderloin salad frencfries dan tiramisunya harga dan rasa sebanding kok so setimpal sekali pelayanannya juga lumayan cepat 
151,negative,wifi di sini selalu eror makanan dan minuman agak mahal lumpiah goreng asin sekali teh susu hanya sedikit enak lama sekali untuk pesanan
152,negative,mau ke hotel yang di mongkok hongkong tidak ada bulan juni lalu saya booked dan sudah bayar untukkamar tapi hotel tidak ditemukan 
153,neutral,daripada ribut ribut soal barang flash sale mending main poker online 
154,neutral,roti unyil toko kue yang menyediakan berbagai macam roti kue dengan ukuran kecil sangat dikenal di bogor dan bandung 
155,neutral,ingin bantu kasih hubungan infonya tapi kuota internet saya terbatas 
156,negative,saya sependapat acara tersebut harus dihilangkan banyak acara yang tidak berguna orang orang dalam acaranya pun bertingkah seperti orang tidak sekolah saja 
157,positive,resto nostalgia yang wajib dikunjungi tempat yang nyaman buat keluarga parkir yang luas hidangannya hampir semua enak terutama steak saslick dan es krim 
158,neutral,ajak keluarga kawan satu kantor kawan jalan pacar kawan pacar atau bahkan mantan pacar buat suara award ini 
159,neutral,tempatnya menarik dengan konsep yang sangat pabrik sayangnya hampir seluruh menunya non halal 
160,negative,untuk orang jogja sih malas kembali ke sanakali cukup sekali masuk harus bayar makanan mahal 
161,neutral,banyak keluarga saya yang bekerja sebagai pegawai negeri
162,positive,kami makan malam di restoran itu dan pelayanannya cukup memuaskan tempatnya luas ada yang berada di dalam ruangan ada yang diteras makanan langsung dipilih dari meja saji di dalam restoran ada pilihan menu segar yang baru digoreng pada saat dipesan dan sebagian besar menu tradisional waktu tunggu tidak lama penyajian unik karena tidak menggunakan piring melainkan memakai daun 
163,negative,kiriman agak terlambathari pakai kurir itu lebih responsif dong
164,positive,ketika ingin menyantap variasi makanan pilihannya selalu hanamasa lokasi tempatnya cukup enak pilihan makanannya banyak dari mulai makanan ringan bakar bakaran rebusan hingga makanan penutup sangat tidak mengecewakan 
165,neutral,dapatkan voucher pulsa rpuntuk dua orang yang beruntung setiap harinya hanya dengan retweet bniquotes
166,negative,makan di resto mewah harga tentu saja mahal tapi rasanya payah sungguh menjengkelkan 
167,neutral,gunanya shazam biar tahu lagu lagu ajaib yang diputer sopir gocar
168,positive,enaknya makan di redsdifo baru kali ini dah saya suka banget makan ikan ikannya segar enak dan tidak ada bau amis lagi pokoknya ikan bawal enak dan kopi robusta susu mantap pokok a ketagihan dah redsdipo jadi tempat favorit saya enak pokoknya mah 
169,negative,ini kenapa sih astaga telkomsel maupun indihome dua duanya sering bermasalah mahal doang woy 
170,positive,saya pergi ke sini hanya untuk mencari sedikit hiburan di kala berlibur bersama keluarga saya hanya minum dan makan makanan kecil minuman di sini harganya murah banget dibandingkan dengan jakarta 
171,negative,tagihan indihome saya bulan oktober ini beda dengan bulan september jatuhnya lebih mahal kenapa bisa begitu janjinya waktu awal pasang tidak ada biaya lain dan biaya flat ini kok naik turun bagaimana konsisten dong
172,negative,ini menyesal sekali makan indomie salted egg makannya tadi pagi jamsampai sekarang after tastenya masih ada gaenak banget lagi ya allah
173,positive,bakso yang unik bakso dengan jenis jenis isian yang berbeda ada yang isi keju daging cincang pedas dan urat saya memilih cincang daging pedas ehmmmm rasanya sesuai dengan namanya harganya murah tempat bersih 
174,negative,bikin macet jalan saja nih orang
175,neutral,bni tingkatkan branding melalui stasiun bni city
176,positive,sensasi makan dengan alas daun pisang dengan enaknya cumi bakar dan tempe tepung yang gurih serta sambal yang menggugah selera memang mantap
177,positive,mie mewek terletak di jalan pajajaran dekat dengan area bec pusat penjualan gadget di sini kita bisa menikmati kuliner khas berupa makanan dengan cita rasa pedas mie nangis akan membuat kita sebagai penikmatnya benar benar menangis karena kepedesan sekaligus ketagihan untuk datang dan makan lagi mienya tebal dan kenyal enak 
178,neutral,dia memakan susu indomilk di dalam kulkas
179,negative,kesal banget dari tadi jualan yakult tidak untung terus
180,neutral,ramayana kembali membuka cabangnya di samarinda
181,positive,tempat ini terkenal banget di kalangan mahasiswa karena selain enak harganya juga termasuk murah kalau menurut saya top deh 
182,positive,beragam macam karya seni yang ditampilkan di lantai dasar dan kedua sungguh menarik perhatian selain itu di halaman luar juga banyak karya seni yang bisa diamati pemandangan yang menyerukan mata serta cuaca yang adem membuat tempat ini sangat disukai banyak orang 
183,negative,gue enggak suka sama pelatih yang sekarang strategi yang dibikinnya tidak bisa dipakai buat mengalahkan lawan 
184,negative,ini adalah tempat makan untuk orang yang menunggu keluarganya yang sedang asyik berbelanja tetapi tidak untuk orang orang yang senang makanan yang enak di jakarta banyak sekali tempat makan yang jauh lebih enak dan harganya jauh lebih murah 
185,neutral,bila kamu selesai transaksi mengirim pastikan cek kembali alamat di resi sebelum meninggalkan counter jne pondok timur ya
186,negative,tendang sana tendang sini hajar sana hajar sini ternyata masing masing punya agenda tersembunyi menyebalkan 
