,text,label
62,Meningkatnya presentase peminat ride sharing membuat toyota nekad menggelontorkan uang hingga $1 miliar pada grab demi menyelamatkan bisnis otomotifnya.,neutral
63,"Pemandangan kota bandung yang indah dapat disaksikan dari sierra kafe lounge. Ada dua pilihan tempat, bisa dalam ruangan maupun di luar. Tempat yang romantis cocok untuk berduaan dan cocok juga buat kumpul bersama teman-teman sambil melepas lelah, karena udaranya sejuk dan menyegarkan. Makanan yang disediakan juga lezat dan banyak pilihan. Ada masakan indonesia, asia, bahkan eropa / makanan barat.",positive
64,Rumah itu memiliki pagar besar berwarna hitam.,neutral
65,"Restoran unik, di mana tidak disediakan piring, untuk makan menggunakan alas daun pisang. Makanan cukup enak.",positive
66,Ayah saya merupakan seorang pegawai net tv,neutral
67,Indomie banyak ditemukan di warung-warung terdekat.,neutral
68,Sulit sekali mengerti orang yang merasa selalu benar,negative
69,Mimpi disuruh mencari coklat sama gordon ramsay eh malah kecampur sama kuah indomie,neutral
70,"Iya sih mi sedap isinya lebih banyak, tapi soal rasa kalah jauh sama yang lain",negative
71,"Wah enak banget, sate yang nikmat bumbu yang pas, rasa yang pas dan daging yang segar, hingga menghasilkan sate yang benar benar mantap. Pelayanan yang ramah. ",positive
72,Waktu datang ke sini sedang bukan musim stroberi jadi pada kecil-kecil dan tidak bagus. Jadi cuma ambil seadanya saja. __sad__.,negative
73,"Peresmian pengoperasian kereta api bandara oleh presiden ri dengan simbolis, penekanan tombol sirine yang menyuarakan genta, didampingi oleh menteri perhubungan, menteri bumn, gubernur banten, dirjen perkeretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink",neutral
74,Masakan restoran ini rata-rata tidak enak.,negative
75,"Cocok untuk makan malam romantis dengan pasangan ketika merayakan momen berdua, makanannya enak dan berkelas.",positive
76,"Batagornya enak, mi nya enak. Ada aneka makanan yang bisa dicicip di satu tempat, apalagi sekarang tokonya sudah direnovasi jadi bagus. Ada musala. Area oleh-oleh banyak pilihan. ",positive
77,"Baru pakai berapa hari langsung hang, power bank tidak bisa di pake apa-apa. Harus bawa ke tempat servis.",negative
78,"Restoran yang memiliki pemandangan yang bagus, jika ke sini pada malam hari carilah tempat duduk di luar ruangan, maka kalian akan melihat disetiap meja lampu lampu yang menyala, makanan yang kami pesan adalah sup krim dan coklat hangat sangatlah enak dan lezat pas dengan cuacanya yang dingin",positive
79,Tempatnya sangat romantis dan nyaman. Dengan suasana yang sangat nyaman dan pelayanan yang baik. Makanan sangat enak dengan harga yang reasonable. Sangat ingin kembali ke sini menikmati suasana sorenya. Secara keseluruhan baik sangat bagus!,positive
80,"Makanan court dengan banyak penyewa, banyak pilihan. Cocok untuk anak muda yang ingin nongkrong berkelompok sambil makan - minum sesuai selera masing-masing. Parkir sangat luas.",positive
81,"Terima kasih bang atas apresiasinya. Semoga beliau segera menemui wakil kami, korban phk sepihak freeport. ",positive
82,"Hampir lebih 5 kali saya ke sini. Dim sumnya yahud dan harganya terjangkau banget. Tempatnya asyik dan sangat nyaman. Pelayannya ramah walaupun kita cuma berdua dan makan tidak banyak jenisnya. Pokoknya rekomendasi banget, bila mencari dim sum atau shabu di balikpapan.",positive
83,"Tempatnya menyenangkan, santai, dan sangat mudah ditemui, karena bersebelahan dengan swalayan lotte mart",positive
84,KIPP menerima banyak laporan terkait adanya pelanggaran pada pilkada 2018.,negative
85,"Sudah beberapa kali ke sini, makanan lumayan enak, saung-saungnya juga membuat suasana makan dan bersantai jadi nikmat, ditambah dengan suara sungai kecil menambah suasana jadi bertambah alami. Dianjurkan datang ke sini malam hari karena lebih indah.",positive
86,Makanan di sini sangat enak. Cocok untuk pertemuan kantor atau bersama keluarga besar harga terjangkau,positive
87,DHL sedang membuka lowongan pekerjaan untuk customer service,neutral
88,Saya coba yang di dekat kantor walikota. Saya pesan bakso malang super komplet. Rasanya enak. Kenyang. Harga juga masuk akal.,positive
89,"Tempat makan di luar yang luas menyajikan segala makanan dari tradisional hingga yang termodern, dari harga yang murah meriah hingga yang mahal. Penataan dekorasi yang apik akan membuat betah. ",positive
90,Yang wajib banget dicoba di resto ini ada jus stroberi tanpa susu atau gula. Asli enak banget. Kayaknya 1 gelas saja kurang deh.,positive
91,"Resto makanan barat dengan harga kaki lima, ditambah pemandangan alam yang indah, suasana yang romantis, asal jangan hujan, karena di teras dibiarkan terbuka. Resto favorit keluarga saya.",positive
92,"Ayam gorengnya enak di sini. Cocok buat yang habis perjalanan jauh. Saya ke sini pulang dari luar kota, jadi makannya pas lapar gitu deh. Bikin perut kenyang, makanannya enak terus pelayanannya mantap. Kasirnya cantik cantik",positive
93,"Paket saya juga sampai sekarang tidak sampai sampai sudah 5 hari statusnya dengan pengiriman courier jakarta, parah sekarang jne",negative
94,"Jual ayam bakar taliwang tapi ayam yang disajikan seperti karet dan tidak memuaskan, dan rasanya hambar, sambalnya juga alakadarnya. Dari keseluruhan sangat mengecewakan dan saya tidak akan ke dua kalinya ke sana lagi",negative
95,Jalan. Sukajadi kalau malam suka ada warga yang buang sampah di pinggir jalan! orang-orang kayak gitu harus dimusnahkan,negative
96,Paling favorit di resto ini adalah bubur 3 rasa. 1 mangkok besar bisa untuk berdua sama suami. Lalu banyak menunya untuk tambahan makan sama bubur. Harga dan rasa sesuai. Dan yang pasti teman makan bubur adalah teh hangat hmmm. Enak!,positive
97,Indosat adalah penyebab gue marah tiap hari,negative
98,Restoran ini merupakan tempat yang cocok untuk makan malam bersama pasangan dan keluarga dengan makanan yang cukup enak dan pemandangan yang bagus. Suasananya juga baik dengan hiasan klasik dari pojok sampai pintu masuknya. ,positive
99,"Konsep restoran biasa saja, tapi harga minumannya kok mahal banget. Dimurahinlah dikit meskipun di daerah wisata hehe. Jadi mikir berkali-kali buat beli.",negative
100,Susunya segar dengan sayuran yang mantap dan rasa kuah yang enak dan pelayanan yang sangat super ramah.,positive
101,"Menyesal nih gue kasih tahu loe, Farrel",negative
102,"Kesel lah, mana parkir tidak benar, bikin jalanan sempit doang lagi, giliran mobilnya baret misuh-misuh menuduh sembarang orang",negative
103,"Resto ini saya rekomendasikan untuk anda singgahi jika anda ingin bersantap sambil menikmati sunset. Karena letaknya yang berada di dataran tinggi, anda dapat menikmati keindahan alam pegunungan dan suasana kota. Untuk makananannya sendiri ada beberapa cita rasa, dari masakan daerah, indonesia hingga internasional.",positive
104,"Sangat melelahkan, balik pergi ke kampus sore sekali ditambah kerja kelompok yang tidak ada abisnya, deadline tugas juga mepet sekali",negative
105,Bali punya banyak pulau yang bisa dikunjungi.,neutral
106,"Saya makan pagi di restoran lantai 18 ini dan kebetulan saya mendapatkan tempat duduk di luar atau balkon. Bantalan tempat duduknya terlihat banyak noda kotoran. Angin sangat kencang bertiup sehingga makan pagi tidak nyaman. Saya sarankan apabila anda makan di restoran ini, pilih tempat duduk di dalam untuk kenyamanan.",negative
107,Perluasan kilang minyak pt pertamina serap 20 ribu lebih tenaga kerja,neutral
108,"Restoran di padma hotel termasuk salah satu tempat yang nyaman dan indah dengan pemandangan bukit, lembah dan pepohonan yang hijau. Sehingga bisa menikmati makanan dengan suasana yang berbeda. Makanan di sini cukup bervariasi dan banyak pilihan tidak beda jauh dengan restoran-restoran lain di bandung, tapi di sini ada menu pilihan tradisional yang membuat anda bisa merasakan khas makanan yang berbeda sambil menikmati alam.",positive
109,Sekarang bukan zaman janji. Km rakyat sudah bosan alias muak,negative
110,Aku dan suami biasanya menginap di jimbaran saat berkunjung ke bali,neutral
111,"Bingung deh, selalu saja tidak bisa ikutan nongkrong karena memang ramai sekali. Yasudahlah ya sepertinya memang lebih enak aku drive thru saja berhubung di pusat kota posisinya sumpah ini mcd paling ramai. ",negative
112,"Penakut tapi soksikan tidak takut, diajak nonton film horror oke ayok, selesai menonton tidak berani ke kamar mandi",negative
113,"Kualitas lounge amat mengecewakan. Jauh dari eskalator, melalui lorong-lorong kotor. Desain sempit memanjang.",negative
114,"Meski tidak pernah mendapatkan gubug tepi sawah, namun pesona dan kenyamanan makan di gubug lain tak menjadi nilai minus bagi tempat makan ini. Banyak gubug yang nyaman untuk dijadikan tempat bersantap, kualitas makanannya pun super dan enak. Coba ikan bakar daun, wangi, pedas dan sedap sekali.",positive
115,Kalau urusan makanan yang enak-enak sepertinya inilah rajanya. Bukan hanya makanan yang mantap tapi suasananya pun semakin hangat apalagi bersama keluarga atau teman. Lagu-lagunya juga menghibur banget.,positive
116,"Sudah beberapa kali makan di tempat ini. Menu merupakan menu khas sunda, terutama tersedia menu yang sudah jarang ditemukan di rumah makan lainnya di bandung. Rasa makanan, sungguh lezat",positive
117,Rakyat sudah jenuh mendengar ocehan politikus jika baik kenapa tidak katakan baik. Kenapa semua yang dilakukan pemerintah. Semuanya tidak ada baiknya.,negative
118,"Menunggu mal istana plaza buka di pagi hari, sebaiknya mampir di mangkok ayam di pelataran lantai 1 istana plaza, berbagai macam menu pilihan indonesia food, chinese food tersedia. Sebaiknya dicoba mi ayam rica sungguh sangat puas sembari minum kopi di pagi hari.",positive
119,"Makan di sini cukup nikmat karena menunya beragam, dari mulai menu indonesia, asia, hingga tiongkok. Sehingga bisa mencoba rasa yang beragam. Rasanya juga tidak kalah enak. Tempatnya cukup nyaman, pelayanannya pun cepat",positive
120,Makan di atas gunung degan pemandangan lampu kota kalau malam sangat indah. Makanannya juga enak harga standar seperti kafe yang lain.,positive
121,"Sebenarnya agak lucu juga sih ke bandung, tapi kok makan pizza hut. Hanya karena lagi ingin pizza. Rasanya tidak berbeda dengan yang di Jakarta.",neutral
122,"Dulu suka banget makan di sini waktu sama di jakarta, baru tahu kalau di bandung juga ada. Tempatnya enak banget. Banyak pilihan suasana yang bisa dipilih, mau di luar, indoor, merokok atau ngge tidak, ada tempat buat segala jenis pengunjung. Makanannya juga enak sih. Ya pasta-pasta ala orang indonesia.",positive
123,Untuk apa kau sekolah tinggi-tinggi tapi ngomong macam anjing menggonggong.,negative
124,"Bagus dan nyaman tempat, tempatnya rekomendasi banget buat makan malam. Datang sama pasangan dilayani sama mbak dela, dijelaskan detail dan ramah banget. Menunya variatif dan enak, pas datang saya sama pasangan nyobain menu lokal dan asingnya, keduanya sama-sama enak. Buat saran saja, jangan datang ke tempat ini, bisa-bisa malah bolak balik datang, hehehehe. Pemandangannya luar biasa.",positive
125,"Buat yang suka manis, coba nasi ayam jamurnya. Kalau tidak suka, coba pilih nasi ikan asin. Yang terkenal satenya, disajikan di atas piring panas. Pilihan lain yang banyak dipesan adalah tahu goreng.",neutral
126,Saya suka sekali makan di sini. Harganya tidak terlalu mahal dan rasanya enak. Yang paling saya suka jamur panggangnya. Banyak kejunya dan lembut. Tiap kali ke sini pasti order ini.,positive
127,"Di restoran itu tersedia banyak pilihan makanan, mulai dari yang murah hingga yang mahal",neutral
128,Tempat yang nyaman dan alami untuk membawa keluarga relaks suasana pedesaan alami. Mengenalkan anak pda alam,positive
129,"Sudah seminggu ini pdam di daerah kami tidak mengalir, apa stok air pdam habis. Tanggung jawab dong",negative
130,Kerja dari pagi sampai pagi lagi itu cuma bakal menyiksa diri sendiri. Jadi tidak usah berlebihan kalau soal kerjaan.,neutral
131,"Rasa makanan tidak semewah harganya. Overpriced untuk pengunjung keluarga, grup teman atau bisnis.",negative
132,"Kalau mampir ke sukabumi, jangan lupa nyicip bubur ayam hamid. Asli, enak banget, beda dengan bubur ayam di tempat lain. Suiran ayamnya lumayan banyak, bumbunya juga terasa banget, apalagi jika kita makannya ditambah sate ampela atau usus. Dijamin bakal ketagihan!",positive
133,Tolonglah pihak telkomsel di revisi harga-harga paket internetnya harganya selangit.,negative
134,Yang terhormat tolong dong respon pesan saya. Terima kasih,neutral
135,Bukan hanya namanya saja swike waled. Rasanya sama enaknya dengan yang di desa waled cirebon kuahnya tauconya asinnya pas. Swieke gorengnya juga enak. Cuma harganya agak mahal dibanding swike di cirebon.,positive
136,Dapatkan hardisk dengan harga promo untuk setiap pemesanan jasa isi hardisk penuh 1 tb,neutral
137,"Restoran unik dengan menu nasi goreng yang unik pula. Nasi goreng disajikan dengan level kepedasan yang berbeda-beda. Anda penggemar pedas harus mencoba nasi goreng di sini. Selain itu, nasi goreng disajikan dengan berbagai resep seperti dengan ebi, kemangi, kecap manis, bumbu rahasia sampai dengan campuran kencur. Per porsi disajikan dengan takaran yang pas. Harga per porsinya mulai rp 13. 000 - rp 21. 000. Pelayanan sangat menyenangkan.",positive
138,Pakek telkomsel pengin marah terus hanya berbagi capture kurang dari 100 kb muteer terus berujung gagal. Tetapi kalau dipompakan bilangnya jaringan tidak bermasalah.,negative
139,"Ditunggu saja, pasti dikasih. Biasa maksimal seminggu kok",neutral
140,"Enak, tempatnya bersih nyaman, dan makanan yang disajikan pun bervariasi. Selain itu tempatnya yang berada di kota menjadikan tempat istirahat orang-orang yang berbelanja dan pekerja kantoran. Harganya memang mahal tapi setara dengan rasanya",positive
141,"Cari di bukalapak saja. Kalau kepepet, sementara bisa gunakan punya redmi 4a.",neutral
142,"Makannya lumayan, tapi ada pelayan yang agak jorok saja jadi kurang nyaman. Untuk makanan agak cepat ya agar tidak kelaparan konsumen. Masih banyak yang harus ditingkatkan.",negative
143,"Padahal baru jam 4 sore di hari kamis. Saya dan teman saya mau coffe break. Saya lupa kami pesan minuman apa waktu itu, hanya yang saya ingat adalah pada saat pilih menu a, dibilang dengan pelayannya sudah habis. Lalu kami pilih menu b,. Eh sudah habis juga. Akhirnya terpaksa memilih menu lain. Cukup menyebalkan.",negative
144,"Kalau di sini dagingnya lebih enak, bumbunya sih lebih berasa yang di sana, harganya juga tidak beda jauh.",positive
145,"Tempat yang indah dan romantis dengan pemandangan kota bandung dengan kerlip lampunya yang mirip dengan ribuan cahaya lilin di malam hari serta hawa dingin pegunungan,. Apalagi hidangan yang lezat hangat dan penampilan yang sangat menggoda. Wah sangat sayang jika dilewatkan.",positive
146,Penasaran ke sini karena tiap melewati tol selalu melihat iklannya di jalan. Pas ke sana ternyata tempatnya cenderung biasa saja. Ke sana pas malam-malam plus hujan juga jadi agak becek.,negative
147,"Resto ini cukup luas, suasana sangat menyenangkan, pengunjung dapat melihat pemandangan kota bandung. Menu makanan barat dan indonesian makanan. Harga sesuai kualitas dan pelayanan.",positive
148,Bogor akan dipimpin kembali oleh bima arya.,neutral
149,"Bulan januari saya sudah ke galeri indosat untuk registrasi kartu, kata mbaknya yang tas, sudah teregistrasi kok, tapi kemarin tidak bisa telepon dan sms karena diblokir belum registrasi. Maunya apa coba? Terima kasih atas layanannya yang excellent sekali.",negative
150,"Saya mencoba suis butcher di selai di suis butcehr di stiabudhi, saya juga mencoba suis butcher di jalan. Riau. Saya lebih menyukai suasanan di suis butcher di setiabudi yang tidak terlalu ramai, dan enak tempatnya buat ngobrol. Makanannya saya suka tenderloin, salad, frencfries, dan tiramisunya. Harga dan rasa sebanding kok, so setimpal sekali pelayanannya juga lumayan cepat.",positive
151,"Wifi di sini selalu eror, makanan dan minuman agak mahal, lumpiah goreng asin sekali, teh susu hanya sedikit enak, lama sekali untuk pesanan",negative
152,"Mau ke hotel yang di mongkok hongkong, tidak ada! Bulan juni lalu, saya booked dan sudah bayar untuk 2 kamar. Tapi hotel tidak ditemukan.",negative
153,Daripada ribut-ribut soal barang flash sale mending main poker online.,neutral
154,"Roti Unyil, toko kue yang menyediakan berbagai macam roti / kue dengan ukuran kecil, sangat dikenal di Bogor dan Bandung.",neutral
155,"Ingin bantu kasih hubungan infonya, tapi kuota internet saya terbatas.",neutral
156,"Saya sependapat, acara tersebut harus dihilangkan, banyak acara yang tidak berguna. Orang-orang dalam acaranya pun bertingkah seperti orang tidak sekolah saja.",negative
157,"Resto nostalgia yang wajib dikunjungi, tempat yang nyaman buat keluarga, parkir yang luas. Hidangannya hampir semua enak, terutama steak, saslick dan es krim.",positive
158,"Ajak keluarga, kawan satu kantor, kawan jalan, pacar, kawan pacar, atau bahkan mantan pacar, buat suara award ini.",neutral
159,"Tempatnya menarik, dengan konsep yang sangat pabrik. Sayangnya hampir seluruh menunya non halal.",neutral
160,Untuk orang jogja sih malas kembali ke sana 2 kali. Cukup sekali. Masuk harus bayar. Makanan mahal.,negative
161,Banyak keluarga saya yang bekerja sebagai pegawai negeri,neutral
162,"Kami makan malam di restoran itu dan pelayanannya cukup memuaskan. Tempatnya luas, ada yang berada di dalam ruangan, ada yang diteras. Makanan langsung dipilih dari meja saji di dalam restoran. Ada pilihan menu segar yang baru digoreng pada saat dipesan dan sebagian besar menu tradisional. Waktu tunggu tidak lama. Penyajian unik karena tidak menggunakan piring melainkan memakai daun.",positive
163,Kiriman agak terlambat 1 hari pakai kurir itu. Lebih responsif dong,negative
164,"Ketika ingin menyantap variasi makanan, pilihannya selalu Hanamasa. Lokasi tempatnya cukup enak. Pilihan makanannya banyak, dari mulai makanan ringan, bakar-bakaran, rebusan hingga makanan penutup. Sangat tidak mengecewakan.",positive
165,"Dapatkan voucher pulsa rp 25.000, - untuk dua orang yang beruntung setiap harinya hanya dengan retweet bniquotes",neutral
166,"Makan di resto mewah, harga tentu saja mahal, tapi rasanya payah, sungguh menjengkelkan.",negative
167,Gunanya shazam: Biar tahu lagu-lagu ajaib yang diputer sopir gocar,neutral
168,"Enaknya makan di redsdifo, baru kali ini dah saya suka banget makan ikan. Ikannya segar, enak, dan tidak ada bau amis lagi. Pokoknya ikan bawal enak. Dan kopi robusta susu mantap. Pokok. A ketagihan dah. Redsdipo jadi tempat favorit saya. Enak pokoknya mah.",positive
169,Ini kenapa sih astaga telkomsel maupun indihome dua-duanya sering bermasalah! Mahal doang woy!,negative
